UserID,event_id,Status,status_updated_date
7679,793,joined,2023-09-07
9615,793,joined, 2023-09-07
4452,793,joined,2023-09-10
7316,793,Joined,2023-09-09
5144,793,joined,2023-09-07
3257,793,joined,
7220,793,joined,2023-09-09
6582,793,joined,2023-09-11
6200,793,,2023-09-11
5461,793,joined,2023-09-10
1293,793,joined,2023-09-08
7517,793,joined,2023-09-11
6506,793,joined,2023-09-08
1277,793,joined,2023-09-09
2705,793,joined,2023-09-11 
6621,793,joined,2023-09-07
6441,793,joined,2023-09-09
4728,793,joined,2023-09-08
82,793,joined,2023-09-07
9970,793,,2023-09-07
7957,793, joined,2023-09-08
9480,793,JOINED,2023-09-07
7067,793,joined,2023-09-10
4302,793,joined,2023-09-08
2546,793,joined,2023-09-07
6254,793,joined,2023-09-11
9221,793,joined,2023-09-12
3940,793,,2023-09-09
5902,793,joined,2023-09-09
5407,793,joined,2023-09-07
9020,793,joined,2023-09-10
1227,793,joined,2023-09-09
1970,793,joined,2023-09-07
8999,793,joined,2023-09-09
5228,793,joined,2023-09-11
5928,793,joined,2023-09-11
3141,793,joined,2023-09-11
3413,793,joined,2023-09-11
1340,793,joined,2023-09-12
2523,793,joined,2023-09-10
439,793,JOINED,2023-09-09
4213,793,joined,2023-09-12
1055,793,joined,2023-09-08
2216,793, joined,2023-09-11
9039,793,joined,2023-09-12
4817,793,joined,2023-09-10
1094,793,joined,
7482,793,Joined,2023-09-09
7471,793,joined,
8775,793,joined,2023-09-09
4734,793,joined,2023-09-08
843,793,joined,2023-09-12
9705,793,joined,2023-09-10
8258,793,joined,2023-09-09
3534,793,,2023-09-08
7035,793,joined,2023-09-12
9357,793,joined ,2023-09-08
9456,793,joined,2023-09-08
4344,793,joined,2023-09-07
3211,793,joined,2023-09-12
5893,793,Joined,2023-09-12
8453,793,JOINED,2023-09-12
5909,793,joined,2023-09-08
3410,793,joined,2023-09-08
2464,793,joined,2023-09-08
4094,793,joined,2023-09-09
7749,793,joined,2023-09-08
9194,793,joined,2023-09-08
5943,793,joined,2023-09-12
8939,793,joined,2023-09-09
320,793,joined,2023-09-12
1330,793,joined,2023-09-07
2987,793,joined,2023-09-12
2089,793,joined,2023-09-08
5734,793,joined ,2023-09-08
9005,793,joined,2023-09-08
6600,793,Joined,
812,793, joined,2023-09-09
3379,793,joined,2023-09-10
3335,793,joined,2023-09-09
2442,793,joined,2023-09-10
3812,793,,2023-09-12
4678,793,joined,2023-09-08
2030,793,joined,2023-09-09
4167,793,joined,2023-09-07
9160,793,joined,
6006,793,joined,2023-09-11
7089,793,joined,
6832,793,joined,2023-09-10
9668,793,joined,2023-09-09
4692,793,,2023-09-09
8642,793,joined,2023-09-07
267,793,joined,2023-09-10
4684,793,joined,2023-09-11
8778,793,joined ,2023-09-09
3725,793,joined,2023-09-07
5032,793,joined,2023-09-11
2647,793,joined,2023-09-08
1963,793,joined,2023-09-12
3578,793,joined,2023-09-11
8318,793,joined,2023-09-07
1990,793,JOINED,2023-09-07
7224,793,joined,2023-09-07
8637,793,,2023-09-12
1468,793,joined,2023-09-10 
5452,793,joined,2023-09-10
4445,793,joined,2023-09-10
3886,793,joined,2023-09-07
7543,793,joined,2023-09-11
9909,793, joined,2023-09-10
4988,793,joined,2023-09-07
2969,793,joined,2023-09-07 
7291,793,joined,2023-09-12
5621,793,joined,2023-09-10
949,793,joined,2023-09-12
4591,793,joined,2023-09-08
8739,793,joined,2023-09-09
3148,793,joined,2023-09-07
6228,793,joined,2023-09-10
5791,793,,2023-09-07
1668,793,joined,
62,793,joined,2023-09-10
2457,793,joined,2023-09-11
1400,793,joined,2023-09-09
6931,793,joined,2023-09-11
9886,793,,2023-09-09
5906,793,joined,2023-09-11
1145,793,,2023-09-12
1408,793,joined,2023-09-12
7556,793,joined,2023-09-09
8539,793,joined,
5018,793,joined,2023-09-09
7533,793,joined,2023-09-07
8697,793,joined,2023-09-09
4781,793,joined,2023-09-09
8133,793,joined,
2638,793,joined,2023-09-08
9650,793,joined,2023-09-10
7922,793, joined,
1033,793,joined,2023-09-12
214,793,joined ,2023-09-12
9305,793,joined,2023-09-10
4492,793,joined,2023-09-09
6383,793,joined,2023-09-07
5878,793,joined,
6858,793,joined,
4972,793,JOINED,2023-09-12
7030,793,joined,2023-09-10
6671,793,joined,2023-09-08
1665,793,joined,2023-09-10
8478,793,joined,2023-09-12
2158,793,joined,2023-09-11 
458,793,joined,2023-09-12
1941,793,joined,2023-09-10
9664,793,,2023-09-10
5042,793,joined,2023-09-12
6730,793,joined,2023-09-08
3973,793,,2023-09-11
6943,793,joined,
8266,793,joined,2023-09-10
8365,793,,2023-09-12
5921,793,joined,2023-09-11
7911,793,,2023-09-07
9830,793,joined,2023-09-10 
4471,793,,2023-09-11
6644,793,joined,2023-09-08
2430,793,joined,
9110,793,joined,2023-09-11
4767,793,joined,2023-09-08
5141,793,joined,2023-09-08
1911,793,joined,2023-09-12
7933,793,joined ,2023-09-11
3444,793,joined,2023-09-07
1218,793,joined,2023-09-09
5640,793,joined,
1471,793,joined,2023-09-12
1035,793,joined,2023-09-09
29,793,joined,2023-09-11
5514,793,joined,
2428,793,joined,2023-09-10
9573,793,joined,2023-09-11
7720,793,joined,2023-09-09
9015,793,joined,
7072,793,,2023-09-09
6933,793,joined,2023-09-09
9190,793,joined,2023-09-10
6008,793,,2023-09-08
1410,793,joined,2023-09-09
1899,793,joined,2023-09-09
8736,793,joined,2023-09-09
6518,793,joined,2023-09-10
8113,793,Joined, 2023-09-11
9996,793,joined,2023-09-08
6393,793,joined,2023-09-11
9667,793,joined,2023-09-08
6888,793,joined,2023-09-12
1682,793,joined ,2023-09-11
4637,793,joined,2023-09-09
9075,793,,2023-09-10
5386,793,joined,2023-09-08
6113,793,joined,2023-09-11
9025,793,joined,2023-09-10
7232,793,joined,
9453,793,joined,2023-09-11
3186,793,joined,2023-09-09
1920,793,joined,2023-09-12
2996,793,joined ,2023-09-10
9223,793,joined,2023-09-08
6504,793,joined,2023-09-10
6454,793,joined,2023-09-12
7428,793,joined,2023-09-07
3068,793,joined,2023-09-07
4053,793,joined,2023-09-10
9604,793,joined,2023-09-07
7547,793,joined,2023-09-09
4443,793,joined,2023-09-11
1679,793,joined,2023-09-10
6714,793,joined,
7456,793,joined,2023-09-09 
8949,793,joined,2023-09-12
600,793,joined,2023-09-11 
9971,793,,2023-09-12
3925,793,joined,2023-09-12
205,793,JOINED,2023-09-09
2249,793,joined,2023-09-09
2131,793,joined,2023-09-09
3082,793,joined,
4355,793,joined,
5340,793,,2023-09-12
3982,793,joined,2023-09-09
9507,793,joined,2023-09-10
4292,793,joined,2023-09-10
3051,793, joined,2023-09-11
8810,793,JOINED,2023-09-11
324,793,JOINED,
5545,793,joined,2023-09-08
1442,793,joined,2023-09-07
244,793,joined,2023-09-08
2609,793, joined,2023-09-09
4413,793,,
735,793,joined,2023-09-09
7550,793,joined,2023-09-10
2143,793,joined,2023-09-07
9899,793,joined,2023-09-09
6474,793,joined,2023-09-10
316,793,joined,2023-09-07
5031,793,joined,2023-09-12
8298,793,joined ,2023-09-08
4186,793,joined,2023-09-10
7706,793,joined,
4735,793,joined,2023-09-11
1098,793,JOINED,2023-09-08
5118,793,Joined,2023-09-10
6666,793,joined,2023-09-07
1465,793,joined,2023-09-08
4556,793,joined,2023-09-11
8475,793,joined,2023-09-09
6091,793,joined,2023-09-08
3599,793,joined,2023-09-10
9727,793,joined,2023-09-09
3547,793,joined,2023-09-07
6857,793,joined,2023-09-09
8559,793,joined,2023-09-12
9204,793,joined,2023-09-08
8705,793,joined,2023-09-08
7361,793,joined,2023-09-11
4182,793,Joined,2023-09-12
7949,793,joined,2023-09-09
2398,793,joined,2023-09-10
3529,793,joined,
869,793,joined,2023-09-07
4343,793,joined ,2023-09-11
738,793,JOINED,
5782,793,joined,2023-09-12
8384,793,joined,
2383,793,joined,2023-09-10
3176,793,joined,2023-09-08
4820,793,joined,2023-09-12
6102,793,joined,2023-09-12
5082,793,joined,
1538,793,joined,2023-09-09
6531,793,joined,2023-09-11
6775,793,joined,2023-09-07
2531,793,joined,2023-09-12
8884,793,joined,2023-09-11
9597,793,joined,2023-09-07
5341,793,joined,2023-09-12
4260,793,joined,2023-09-10
8700,793,joined,2023-09-11
7259,793,,2023-09-07
6295,793,joined,2023-09-07
9095,793,joined,2023-09-11
5251,793,joined,2023-09-09
2468,793,joined ,2023-09-08
3531,793,joined,2023-09-10
5841,793,joined,2023-09-07
7979,793,,2023-09-09
4665,793,joined,2023-09-07
8118,793,joined,2023-09-09
125,793,,2023-09-12
2813,793,joined,2023-09-07
5570,793,JOINED,2023-09-08
9370,793,joined,2023-09-09
9085,793,joined,2023-09-12
1610,793,joined,2023-09-10
5850,793, joined,2023-09-07
9056,793,joined,2023-09-11
5084,793,joined,2023-09-09
8454,793,joined ,2023-09-07
8971,793,joined,2023-09-12
9088,793,joined,2023-09-09
6170,793,joined,2023-09-10
2931,793,joined ,2023-09-09
8158,793,joined,2023-09-09
3167,793,joined,2023-09-11
8396,793,JOINED,2023-09-07
1552,793,joined,2023-09-11
5200,793,joined,2023-09-09
9926,793,joined,2023-09-09
3858,793,joined, 2023-09-09
1592,793,joined,2023-09-12
4219,793,joined,2023-09-11
454,793,joined,2023-09-08
8187,793,joined,2023-09-08
307,793,JOINED,2023-09-10
135,793,joined,2023-09-09
3459,793,joined,2023-09-11
8607,793,joined,2023-09-11
1739,793,,2023-09-12
7614,793,joined,2023-09-09
8859,793,Joined,2023-09-08
9202,793,joined,2023-09-11
463,793,joined,2023-09-11
7373,793,joined,2023-09-07
5510,793,joined,2023-09-09
6229,793,joined,2023-09-07
6850,793,joined,2023-09-07
9361,793,joined,2023-09-11
3283,793,joined,2023-09-11
9862,793,joined,2023-09-08
3165,793,joined,2023-09-09
6604,793,joined,2023-09-08
2658,793,joined,2023-09-10
1285,793,joined,2023-09-09
2762,793,joined,2023-09-07
9527,793,joined,2023-09-09
6967,793,joined,2023-09-11
9598,793,joined,2023-09-12
4540,793,joined,2023-09-10
7539,793,joined,2023-09-10
2641,793,,2023-09-09
6347,793,joined,2023-09-11
1270,793,joined,2023-09-12
5322,793,joined,2023-09-07
7698,793,joined,2023-09-09
6866,793,joined,2023-09-07
4870,793,Joined,2023-09-08
8749,793,,2023-09-09
726,793,joined,2023-09-09
1830,793,joined,2023-09-07
5935,793,joined ,2023-09-08
7723,793,joined,2023-09-09
421,793,joined,2023-09-09
7531,793,joined,2023-09-12
7057,793,joined,2023-09-07
877,793,joined,2023-09-11
8520,793,,2023-09-11
9850,793,joined,2023-09-11
5456,793,joined,2023-09-09
9797,793,joined,2023-09-07
8695,793,joined,2023-09-07
8346,793,joined,2023-09-11
9233,793,joined,2023-09-12
7726,793,joined,
4769,793,joined,2023-09-08
236,793,joined,2023-09-07
8912,793,JOINED,2023-09-11
3869,793,joined,2023-09-11
7734,793,joined,2023-09-11
5457,793,joined,2023-09-12
1980,793,joined,2023-09-12
5500,793,joined,2023-09-09
3635,793,joined,2023-09-10
2537,793,joined,2023-09-07
8351,793,joined,2023-09-11
1589,793,Joined,2023-09-10
9382,793,joined,2023-09-11
664,793,joined,2023-09-08
4483,793,joined,2023-09-11
9979,793,joined,
1627,793,joined,2023-09-11
3908,793,joined,2023-09-09
110,793,joined,2023-09-10
6620,793,joined,2023-09-10
7153,793,JOINED,2023-09-11
